pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
EGFR_170-200_PKT28,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3102,0.1145,0.5644,0.65,0.0931,0.0286,0.1693,0.0975,0.3885,61
EGFR_160-185_PKT34,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.2814,0.1058,0.6297,0.5667,0.0844,0.0265,0.1889,0.085,0.3848,62
EGFR_160-185_PKT34,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1058,0.6297,0.5667,0.0844,0.0265,0.1889,0.085,0.3848,63
3GT8_raw_PKT08,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.3062,0.1229,0.5644,0.5667,0.0919,0.0307,0.1693,0.085,0.3769,64
3GT8_raw_PKT08,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3062,0.1229,0.5644,0.5667,0.0919,0.0307,0.1693,0.085,0.3769,65
EGFR_160-185_PKT09,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.2814,0.1514,0.5497,0.5667,0.0844,0.0379,0.1649,0.085,0.3722,66
EGFR_170-200_PKT28,EGFR_170-200,97806,interface_rim_modulator_candidate,medium,0.3102,0.1145,0.5044,0.65,0.0931,0.0286,0.1513,0.0975,0.3705,67
3GT8_raw_PKT20,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.3062,0.0965,0.5644,0.5333,0.0919,0.0241,0.1693,0.08,0.3653,68
EGFR_160-185_PKT34,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.2814,0.1058,0.5497,0.5667,0.0844,0.0265,0.1649,0.085,0.3608,69
3GT8_raw_PKT03,3GT8_raw,173940,uncertain_mechanism_candidate,low,0.253,0.149,0.475,0.65,0.0759,0.0372,0.1425,0.0975,0.2668,70
3GT8_raw_PKT03,3GT8_raw,97806,uncertain_mechanism_candidate,low,0.253,0.149,0.475,0.65,0.0759,0.0372,0.1425,0.0975,0.2668,71
3GT8_raw_PKT03,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.149,0.475,0.65,0.0759,0.0372,0.1425,0.0975,0.2668,72
