rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,adjusted_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,overall_druggability_tier,ligand_support_strength,state_class,accessibility_label,state_caveat
48,EGFR_160-185_PKT23,EGFR_160-185,97806,interface_rim_modulator_candidate,0.403,low,0.2814,0.1289,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
49,EGFR_160-185_PKT23,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.403,low,0.2814,0.1289,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
50,EGFR_170-200_PKT12,EGFR_170-200,173940,interface_rim_modulator_candidate,0.4026,low,0.2814,0.1391,0.6197,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
51,EGFR_170-200_PKT12,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.4026,low,0.2814,0.1391,0.6197,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
52,3GT8_raw_PKT08,3GT8_raw,173940,interface_rim_modulator_candidate,0.4009,medium,0.3062,0.1229,0.6444,0.5667,rim_candidate,2,tier_3,strong,uncertain_alignment,mostly_accessible,
53,3GT8_raw_PKT14,3GT8_raw,173940,interface_rim_modulator_candidate,0.3991,low,0.2798,0.1151,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
54,3GT8_raw_PKT14,3GT8_raw,97806,interface_rim_modulator_candidate,0.3991,low,0.2798,0.1151,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
55,3GT8_raw_PKT14,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.3991,low,0.2798,0.1151,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
56,EGFR_160-185_PKT09,EGFR_160-185,173940,interface_rim_modulator_candidate,0.3962,low,0.2814,0.1514,0.6297,0.5667,rim_candidate,1,tier_3,strong,uncertain_alignment,mostly_accessible,
57,EGFR_160-185_PKT09,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.3962,low,0.2814,0.1514,0.6297,0.5667,rim_candidate,1,tier_3,strong,uncertain_alignment,mostly_accessible,
