rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,adjusted_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,overall_druggability_tier,ligand_support_strength,state_class,accessibility_label,state_caveat
126,EGFR_170-200_PKT36,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.044,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
127,3GT8_raw_PKT22,3GT8_raw,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.0242,0.475,0.5667,allosteric_candidate,0,tier_3,strong,uncertain_alignment,mostly_accessible,
128,3GT8_raw_PKT22,3GT8_raw,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.0242,0.475,0.5667,allosteric_candidate,0,tier_3,strong,uncertain_alignment,mostly_accessible,
129,3GT8_raw_PKT22,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.0242,0.475,0.5667,allosteric_candidate,0,tier_3,strong,uncertain_alignment,mostly_accessible,
130,EGFR_160-185_PKT14,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.1412,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
131,EGFR_160-185_PKT14,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.1412,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
132,EGFR_160-185_PKT14,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.1412,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
133,EGFR_160-185_PKT27,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.1208,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
134,EGFR_160-185_PKT27,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.1208,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
135,EGFR_160-185_PKT27,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.1208,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
136,EGFR_160-185_PKT29,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.1166,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
137,EGFR_160-185_PKT29,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.1166,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
138,EGFR_160-185_PKT29,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.1166,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
139,EGFR_160-185_PKT39,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.1037,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
140,EGFR_160-185_PKT39,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.1037,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
141,EGFR_160-185_PKT39,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.1037,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
142,EGFR_160-185_PKT40,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.0938,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
143,EGFR_160-185_PKT40,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.0938,0.385,0.5667,allosteric_candidate,0,tier_3,moderate,state_shifted_pocket,mostly_accessible,
144,EGFR_160-185_PKT40,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.0938,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
145,EGFR_160-185_PKT43,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.0878,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
146,EGFR_160-185_PKT43,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.0878,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
147,EGFR_160-185_PKT43,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.0878,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
148,EGFR_170-200_PKT13,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.1391,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
149,EGFR_170-200_PKT13,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.1391,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
150,EGFR_170-200_PKT13,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.1391,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
151,EGFR_170-200_PKT26,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.1163,0.395,0.5667,allosteric_candidate,0,tier_3,moderate,state_shifted_pocket,mostly_accessible,
152,EGFR_170-200_PKT26,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.1163,0.395,0.5667,allosteric_candidate,0,tier_3,moderate,state_shifted_pocket,mostly_accessible,
153,EGFR_170-200_PKT26,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.1163,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
154,EGFR_170-200_PKT33,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2475,low,0.253,0.0896,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
155,EGFR_170-200_PKT33,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2475,low,0.253,0.0896,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
156,EGFR_170-200_PKT33,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2475,low,0.253,0.0896,0.475,0.5667,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,mostly_accessible,
157,EGFR_170-200_PKT03,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1902,high,0.253,0.1631,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,always_accessible,
158,EGFR_160-185_PKT06,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1878,high,0.253,0.1535,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,always_accessible,
159,EGFR_170-200_PKT07,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1868,high,0.253,0.1496,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,always_accessible,
160,EGFR_160-185_PKT17,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1836,high,0.253,0.1367,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,always_accessible,
161,EGFR_170-200_PKT18,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1818,high,0.253,0.1295,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,always_accessible,
162,3GT8_raw_PKT13,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1786,high,0.253,0.1169,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_robust_pocket,always_accessible,
163,EGFR_170-200_PKT27,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1782,high,0.253,0.1151,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_robust_pocket,always_accessible,
164,EGFR_170-200_PKT29,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1773,high,0.253,0.1115,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,always_accessible,
165,3GT8_raw_PKT18,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.176,high,0.253,0.1064,0.045,0.4,low_relevance_candidate,0,tier_3,none,state_robust_pocket,always_accessible,
166,EGFR_160-185_PKT08,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1749,high,0.253,0.152,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
167,EGFR_170-200_PKT02,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1749,high_provisional,0.253,0.1721,0.045,0.2833,low_relevance_candidate,0,tier_3,none,state_specific_pocket,single_state_only,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.
168,EGFR_160-185_PKT10,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1746,high,0.253,0.1508,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
169,3GT8_raw_PKT04,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1735,high,0.253,0.1463,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
170,EGFR_170-200_PKT08,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1733,high,0.253,0.1457,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
171,EGFR_170-200_PKT09,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.173,high,0.253,0.1445,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
172,EGFR_170-200_PKT11,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1718,high,0.253,0.1397,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
173,EGFR_170-200_PKT14,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1711,high,0.253,0.1367,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
174,EGFR_160-185_PKT18,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1709,high,0.253,0.1361,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
175,EGFR_160-185_PKT20,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1703,high,0.253,0.1334,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
176,EGFR_160-185_PKT21,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1702,high,0.253,0.1331,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
177,EGFR_170-200_PKT16,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1702,high,0.253,0.1331,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
178,EGFR_160-185_PKT22,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1697,high,0.253,0.131,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
179,EGFR_160-185_PKT24,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.169,high,0.253,0.1283,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
180,EGFR_160-185_PKT25,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1689,high,0.253,0.128,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
181,EGFR_170-200_PKT19,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1685,high,0.253,0.1262,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
182,EGFR_160-185_PKT26,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1676,high,0.253,0.1226,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
183,EGFR_170-200_PKT20,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1673,high,0.253,0.1217,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
184,EGFR_170-200_PKT21,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1672,high,0.253,0.1211,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
185,3GT8_raw_PKT09,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1671,high,0.253,0.1208,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
186,EGFR_170-200_PKT22,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1671,high,0.253,0.1208,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
187,EGFR_170-200_PKT23,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1671,high,0.253,0.1208,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
188,EGFR_170-200_PKT24,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.167,high,0.253,0.1202,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
189,EGFR_160-185_PKT28,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1667,high,0.253,0.1193,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
190,3GT8_raw_PKT12,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1662,high,0.253,0.1172,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
191,EGFR_160-185_PKT31,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1652,high,0.253,0.1133,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
192,EGFR_160-185_PKT32,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1652,high,0.253,0.113,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
193,3GT8_raw_PKT06,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.165,high_provisional,0.253,0.1325,0.045,0.2833,low_relevance_candidate,0,tier_3,none,state_specific_pocket,single_state_only,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.
194,EGFR_160-185_PKT33,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1649,high,0.253,0.1118,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
195,3GT8_raw_PKT17,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.164,high,0.253,0.1085,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
196,EGFR_160-185_PKT35,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1634,high,0.253,0.1058,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
197,EGFR_160-185_PKT36,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1634,high,0.253,0.1058,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
198,EGFR_170-200_PKT30,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1625,high,0.253,0.1022,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
199,3GT8_raw_PKT19,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1623,high,0.253,0.1016,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
200,3GT8_raw_PKT15,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1607,high_provisional,0.253,0.1151,0.045,0.2833,low_relevance_candidate,0,tier_3,none,state_specific_pocket,single_state_only,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.
201,3GT8_raw_PKT21,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,0.1601,high,0.253,0.0929,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
202,EGFR_170-200_PKT32,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1601,high,0.253,0.0929,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
203,EGFR_160-185_PKT42,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.159,high,0.253,0.0884,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
204,EGFR_160-185_PKT44,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1581,high,0.253,0.0848,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
205,EGFR_160-185_PKT41,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,0.1551,high_provisional,0.253,0.0929,0.045,0.2833,low_relevance_candidate,0,tier_3,none,state_specific_pocket,single_state_only,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.
206,EGFR_170-200_PKT35,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.151,high,0.253,0.0563,0.045,0.3167,low_relevance_candidate,0,tier_3,none,state_shifted_pocket,mostly_accessible,
207,EGFR_170-200_PKT37,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,0.1478,high,0.253,0.0437,0.045,0.3167,low_relevance_candidate,0,tier_3,none,uncertain_alignment,mostly_accessible,
