rank,pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,perturbation_score,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,pose_support_count,best_affinity_kcal,state_class,n_states_matched,classification_basis
38,EGFR_170-200_PKT10,EGFR_170-200,97806,interface_rim_modulator_candidate,low,0.4063,0.2814,0.1418,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
39,EGFR_170-200_PKT10,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,low,0.4063,0.2814,0.1418,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
40,EGFR_160-185_PKT07,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.4061,0.2814,0.1532,0.6197,0.65,rim_candidate,1,0.071,tier_3,strong,9,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
41,EGFR_160-185_PKT15,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.4061,0.2814,0.1412,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
42,EGFR_160-185_PKT15,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.4061,0.2814,0.1412,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
43,EGFR_160-185_PKT15,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.4061,0.2814,0.1412,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
44,EGFR_170-200_PKT17,EGFR_170-200,97806,interface_rim_modulator_candidate,medium,0.406,0.3386,0.1328,0.5791,0.65,rim_candidate,3,0.214,tier_3,moderate,10,,state_shifted_pocket,3,rim_relationship; overlap=3; ligand_support=moderate
45,EGFR_170-200_PKT12,EGFR_170-200,97806,interface_rim_modulator_candidate,low,0.4056,0.2814,0.1391,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
46,3GT8_raw_PKT02,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.405,0.2798,0.1508,0.6197,0.65,rim_candidate,1,0.067,tier_3,strong,9,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
47,EGFR_160-185_PKT23,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.403,0.2814,0.1289,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
