id,dG_separated,L_RMSD,L_RMSD_best,dSASA
2066,-7.68975305036156,90.03048928934034,22.174100161361828,680.5770473118514
2102,-5.772018959027719,90.59918032402591,25.27580004674987,740.4670587236935
2107,-8.697099700314538,91.01498173852556,27.35273462924726,890.4865553261857
2136,-6.5012143986423325,90.58086844375929,19.07876621018619,307.93947041023205
2149,-7.8412189599580415,76.72638932604663,34.66704174668852,491.47660351983603
2152,-6.039451159831515,78.84542332893996,39.55213196547248,624.9689879017578
2147,-9.37309752662486,89.04056199224235,20.88953065544549,983.5467508546716
2157,-6.324440205914925,89.73008397233143,19.30264073197953,639.1705225857253
2167,-5.351805956317094,79.94101257842905,32.373120801815055,305.2601728118918
2172,-5.524423062970982,82.18091041058695,20.982504759271105,362.4062551439372
2232,-7.580322860826527,91.75718678408381,27.152790396872227,725.6380199959921
2236,-7.174730496151369,91.54788655218508,19.50667747503162,835.4117909653125
2245,-5.203199049802151,85.35966801025062,21.170592489067626,450.1167217483421
2286,-10.035489819679242,80.99031252987452,27.93303565477545,586.047633619037
2294,-6.1644996209720375,85.48878383784323,24.25422082002728,525.1801369848324
2295,-6.796740481053348,82.53233052486603,28.62674678266486,326.3210531386883
2337,-5.518456121603776,91.57911843545186,15.627392740882193,620.0190169465726
2355,-5.2038812332057205,90.74158060806643,20.150913711293544,458.02469223384503
2366,-5.952334115393114,79.83549414124028,32.40292531348901,525.0486089724021
2338,-7.419657612837,91.60523405562071,24.084435391562714,1382.1918512771656
2370,-5.289006345116377,89.09843882087362,13.536191532104997,600.3135825879315
2378,-7.336338171277475,92.06559451009174,15.375005986119167,839.082039970822
2412,-10.08853925800804,92.5130703226352,24.324224677373522,995.639679577625
2435,-5.368655073659738,83.22235702982765,25.38920826816994,470.59263752304037
2430,-7.670258501302669,95.39780257199652,27.024433739240116,1153.9220457942306
2448,-8.947912962034025,92.8236541008756,26.511624980461075,801.3414048055847
2461,-6.64476258132072,81.45958815645837,32.38023374937593,695.469042004927
2497,-8.620411267742838,92.40132167962885,23.058571268524823,968.6203305117275
2513,-5.5184211212681475,81.00171729247629,37.4804432514924,314.4632319015067
2534,-9.893211365898424,82.83953175251372,32.611782946458625,547.125076998387
2620,-5.498490902700723,83.69811540183227,24.543577146775082,472.3978432039066
2619,-6.0782197939875005,89.00153351565464,24.40592024233323,683.9919430122659
2645,-6.603609919337487,86.73142618741755,28.155003478016322,299.69731203657625
2698,-5.332403870511371,85.56273020165727,30.611482527563425,418.9998360479715
2726,-8.25181700832536,84.49107219008869,35.02363046866602,701.1834982005612
2736,-7.553883286456767,78.137533314821,34.864684175590334,528.5685734937863
2742,-8.622884436191725,91.5432976812583,12.736913538891342,1007.2116779394817
2751,-14.64042132457007,92.35762748068835,23.48228545444892,1192.4677354087519
2773,-6.765037299324831,85.51408044222808,27.36182305703335,550.9111693241153
2792,-5.429213625824559,83.81239771545079,30.043677042086458,663.416163376278
2828,-9.765833542371638,87.61490273836287,24.982430490517768,499.78210570981093
2869,-9.817715783407948,88.81476330550996,26.310134913632115,862.0818026851495
2875,-6.2688492709003185,76.53610118324738,40.67964072985793,363.397827112618
2892,-8.117378669162463,78.08889628153345,31.523096773374967,778.1024078714315
2911,-13.416246431522723,78.42097914013507,26.864489085296263,619.8730531219737
2932,-9.448324381023667,89.74117004052339,25.819875229463513,940.0684504932581
2975,-5.014558006660536,80.66632412904022,31.744201233865038,512.0663690608966
2997,-9.102829453719096,87.81496440371949,24.11553048391584,582.036936811124
3016,-11.355500294092053,92.49369579686288,21.2536966336578,1108.405224137544
3017,-6.956674675474915,91.97922734437974,23.169033363006626,648.0307524681352
3036,-7.608236628556824,90.53818242013516,25.464288237663094,660.0542791430108
3048,-5.760478033499112,81.59596790589846,18.421223013967467,450.9538126856742
3058,-5.502063317360808,77.96110643508342,33.37332705231554,324.23389533492673
3050,-6.533046598183773,87.72583944265084,29.903389674296943,413.22326164500413
3047,-7.148744045615331,91.27865793512267,10.584753597739756,840.6226304660291
3070,-5.9693933356375055,82.95104977398732,31.157135626964124,1022.0900900924669
3091,-8.698778929053788,80.81892640964917,39.041444328022834,888.9071874935089
3116,-5.612467107250268,88.19643234261997,24.702078505719445,461.5757158588959
3149,-7.792235505975896,79.82594327593851,42.940003269464704,650.9942749959082
3167,-6.279398176562154,85.33799859835239,21.988676566455634,364.47670432899304
3161,-6.517631665160934,90.27650106946166,19.897017333429623,862.8963517255647
3177,-5.4366316816094695,81.36397618572117,29.891988173078943,473.19534231678455
3172,-6.471976000048016,88.20887814774711,29.58219963426887,476.9542928333897
3235,-6.113437276647801,78.5188243215411,34.34480116750885,716.5610590055792
3278,-6.6195979481558425,80.952964064617,38.88328726464534,592.167750874948
3303,-6.625297887704619,80.98474815649391,35.185104553992055,312.83504914890625
3306,-8.304117328799293,84.90649617552477,27.08759494298394,656.1295688895793
3324,-8.728686634998212,85.50214396489773,30.207403223664777,650.5927561837228
3337,-7.550089498375655,89.53411379591802,26.524792162559923,688.9428835948131
3369,-11.367947299584557,84.50643053340512,21.29834415709314,818.0087251427324
3409,-8.150616673427521,83.70135680846299,26.183233829191,630.5457104698435
3429,-4.912090558927957,89.82383369409138,21.984544744613235,577.3043020114163
3449,-5.617337077348111,79.20808492375156,26.31723494182119,474.0900989326025
3451,-10.755688914634902,80.7151943460182,40.84932339680116,723.9525439018131
3473,-7.13760270721923,81.5329195147103,30.404893267040404,380.6465049880765
3462,-6.136394358050893,88.1273121885678,26.95782161834253,653.5518029115918
3476,-8.994746818578733,89.42347879259297,23.389578534128137,604.8504922868112
3481,-7.388013820013384,90.67162273890625,27.691502908515375,729.9609755996341
3493,-10.173148555863918,77.52621170490252,36.38960760357383,800.9371089806339
3533,-11.30915265246631,84.76422274916084,29.10711732462483,608.2554434889988
3548,-7.034988127026281,94.97902255667444,27.12578360046975,672.172720701119
3546,-5.801860706259049,90.47972254198282,25.934481923845446,620.6110558999058
3587,-6.80298192359578,89.28715279008622,27.789901804778857,414.0178441187765
3578,-7.383106337984373,87.79095500714794,30.71689295415151,712.714019782371
3633,-5.613970002623773,87.80114957810963,28.837471242583284,369.2016286519165
3649,-7.723533978678006,85.91442026972236,29.824310764053592,517.2535186258992
3644,-6.125722656819562,86.54046524882192,22.47918892144659,521.0779073539259
3642,-6.923387905947038,90.32125264181944,22.283476935689023,791.2636720220783
3668,-6.87916737530395,79.24032016017196,37.272121166579694,646.9245783022591
